source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,Argas persius (Oken),,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,persius,,species,,(Oken),,,,,,Argas persius
,,,,,,,,,"Argas polonicus Siuda, Hoogstraal, Clifford & Wassef, 1979",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,polonicus,,species,,"Siuda, Hoogstraal, Clifford & Wassef, 1979",,,,,,Argas polonicus
,,,,,,,,,Argas pusillus Kohls,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,pusillus,,species,,Kohls,,,,,,Argas pusillus
,,,,,,,,,Argas radiatus Railliet,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,radiatus,,species,,Railliet,,,,,,Argas radiatus
,,,,,,,,,"Argas reflexus (Fabricius, 1794)",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,,species,,"(Fabricius, 1794)",,,,,,Argas reflexus
,,,,,,,,,Argas reflexus indicus Warburton,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,indicus,subspecies,,Warburton,,,,,,Argas reflexus indicus
,,,,,,,,,Argas reflexus reflexus Fabricus,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,reflexus,reflexus,subspecies,,Fabricus,,,,,,Argas reflexus reflexus
,,,,,,,,,"Argas ricei Hoogstraal, Kaiser, Clifford & Keira, 1975",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,ricei,,species,,"Hoogstraal, Kaiser, Clifford & Keira, 1975",,,,,,Argas ricei
,,,,,,,,,"Argas robertsi Hoogstraal, Kaiser & Kohls",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,robertsi,,species,,"Hoogstraal, Kaiser & Kohls",,,,,,Argas robertsi
,,,,,,,,,Argas sanchexi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchexi,,species,,,,,,,,Argas sanchexi
,,,,,,,,,Argas sanchezi Duges,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,sanchezi,,species,,Duges,,,,,,Argas sanchezi
,,,,,,,,,"Argas streptopelia Kaiser, Hoogstraal & Horner, 1970",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,streptopelia,,species,,"Kaiser, Hoogstraal & Horner, 1970",,,,,,Argas streptopelia
