"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","grenieri","","","KLEIN","Ornithodoros grenieri"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","guaporensis","","","","Ornithodoros guaporensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","gurneyi","","","WARBURTON","Ornithodoros gurneyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","hasei","","","(SCHULZE)","Ornithodoros hasei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","hermsi","","","WHEELER  HERMS  MEYER","Ornithodoros hermsi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","indica","","","RAU  RAO 1971","Ornithodoros indica"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","kelleyi","","","COOLEY  KOHLS 1941","Ornithodoros kelleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","knoxjonesi","","","JONES  CLIFFORD","Ornithodoros knoxjonesi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","lahorensis","","","NEUMANN","Ornithodoros lahorensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","macmillani","","","HOOGSTRAAL  KOHLS 1966","Ornithodoros macmillani"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","madagascariensis","","","HOOGSTRAAL 1962","Ornithodoros madagascariensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","marinkellei","","","KOHLS  CLIFFORD  JONES","Ornithodoros marinkellei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","maritimus","","","VERMEIL  MARGUET","Ornithodoros maritimus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","marmosae","","","JONES  CLIFFORD","Ornithodoros marmosae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","marocanus","","","(LUCAS)","Ornithodoros marocanus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","megnini","","","","Ornithodoros megnini"
