source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
Lewis,111,,,,,,,,"Amalaraeus penicilliger mengdaensis (Cai, Wu & Li, 1997)",,Amalaraeus penicilliger,,,,1997,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,mengdaensis,subspecies,,"(Cai, Wu & Li, 1997)",,ICZN,accepted,,,Amalaraeus penicilliger mengdaensis
"Lewis, CoL, GBIF",113,,,,,,,,"Amalaraeus penicilliger mustelae (Dale, 1878)",,Amalaraeus penicilliger,,,,1878,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,mustelae,subspecies,,"(Dale, 1878)",,ICZN,accepted,,,Amalaraeus penicilliger mustelae
"Lewis, CoL, GBIF",115,,,,,,,,"Amalaraeus penicilliger pedias (Rothschild, 1911)",,Amalaraeus penicilliger,,,,1911,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,pedias,subspecies,,"(Rothschild, 1911)",,ICZN,accepted,,,Amalaraeus penicilliger pedias
"Lewis, CoL, FMNH, GBIF, NMNH",118,,,,,,,,"Amalaraeus penicilliger penicilliger (Grube, 1851)",,Amalaraeus penicilliger,,,,1851,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,penicilliger,subspecies,,"(Grube, 1851)",,ICZN,accepted,,,Amalaraeus penicilliger penicilliger
"Lewis, CoL, GBIF",119,,,,,,,,"Amalaraeus penicilliger pyrenaicus Brinck-Lindroth, 1974",,Amalaraeus penicilliger,,,,1974,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,pyrenaicus,subspecies,,"Brinck-Lindroth, 1974",,ICZN,accepted,,,Amalaraeus penicilliger pyrenaicus
"Lewis, CoL, GBIF",120,,,,,,,,"Amalaraeus penicilliger syrt (Ioff, 1946)",,Amalaraeus penicilliger,,,,1946,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,syrt,subspecies,,"(Ioff, 1946)",,ICZN,accepted,,,Amalaraeus penicilliger syrt
"Lewis, CoL, GBIF",121,,,,,,,,"Amalaraeus penicilliger vallis (Ioff, 1946)",,Amalaraeus penicilliger,,,,1946,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,penicilliger,vallis,subspecies,,"(Ioff, 1946)",,ICZN,accepted,,,Amalaraeus penicilliger vallis
"Lewis, CoL, GBIF",122,,,,,,,,"Amalaraeus steineri (Peus, 1977)",,Amalaraeus,,,,1977,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,steineri,,species,,"(Peus, 1977)",,ICZN,accepted,,,Amalaraeus steineri
"Lewis, CoL, GBIF",3494,,,,,,,,"Amalaraeus Ioff, 1936",,Ceratophyllinae,,,,1936,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amalaraeus,,,,genus,,"Ioff, 1936",,ICZN,accepted,,,Amalaraeus
"Lewis, CoL, GBIF",125,,,,,,,,"Amaradix bitterrootensis (Dunn, 1923)",,Amaradix,,,,1923,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amaradix,,bitterrootensis,,species,,"(Dunn, 1923)",,ICZN,accepted,,,Amaradix bitterrootensis
"Lewis, CoL, FMNH, GBIF, NMNH",127,,,,,,,,"Amaradix euphorbi (Rothschild, 1905)",,Amaradix,,,,1905,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amaradix,,euphorbi,,species,,"(Rothschild, 1905)",,ICZN,accepted,,,Amaradix euphorbi
Lewis,128,,,,,,,,"Amaradix vonfintelis (Prince, 1959)",,Amaradix,,,,1959,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amaradix,,vonfintelis,,species,,"(Prince, 1959)",,ICZN,accepted,,,Amaradix vonfintelis
"Lewis, CoL, GBIF",3495,,,,,,,,"Amaradix Smit, 1983",,Ceratophyllinae,,,,1983,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amaradix,,,,genus,,"Smit, 1983",,ICZN,accepted,,,Amaradix
Lewis,129,,134,,,,,,"Amonopsyllus ciliatus mononis Jordan, 1929",Amonopsyllus ciliatus,Amonopsyllus ciliatus,,,,1929,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amonopsyllus,,ciliatus,mononis,subspecies,,"Jordan, 1929",,ICZN,synonym,,,Amonopsyllus ciliatus mononis
Lewis,130,,134,,,,,,"Amonopsyllus ciliatus protinus Jordan, 1929",Amonopsyllus ciliatus,Amonopsyllus ciliatus,,,,1929,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amonopsyllus,,ciliatus,protinus,subspecies,,"Jordan, 1929",,ICZN,synonym,,,Amonopsyllus ciliatus protinus
Lewis,134,,,,,,,,"Amonopsyllus ciliatus Baker, 1904",,Amonopsyllus,,,,1904,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amonopsyllus,,ciliatus,,species,,"Baker, 1904",,ICZN,accepted,,,Amonopsyllus ciliatus
"Lewis, GBIF",3496,,,,,,,,"Amonopsyllus Wagner, 1938",,Ceratophyllinae,,,,1938,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amonopsyllus,,,,genus,,"Wagner, 1938",,ICZN,accepted,,,Amonopsyllus
"Lewis, CoL, GBIF",135,,,,,,,,"Amphalius clarus clarus (Jordan & Rothschild, 1922)",,Amphalius clarus,,,,1922,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,clarus,clarus,subspecies,,"(Jordan & Rothschild, 1922)",,ICZN,accepted,,,Amphalius clarus clarus
"Lewis, CoL, GBIF",136,,,,,,,,"Amphalius clarus kunlunensis Yu & Wang, 1981",,Amphalius clarus,,,,1981,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,clarus,kunlunensis,subspecies,,"Yu & Wang, 1981",,ICZN,accepted,,,Amphalius clarus kunlunensis
Lewis,137,,,,,,,,"Amphalius clarus tianshanensis Yu, Ye & Xie, 1987",,Amphalius clarus,,,,1987,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,clarus,tianshanensis,subspecies,,"Yu, Ye & Xie, 1987",,ICZN,accepted,,,Amphalius clarus tianshanensis
"Lewis, CoL, GBIF",138,,,,,,,,"Amphalius manosus Li, 1979",,Amphalius,,,,1979,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,manosus,,species,,"Li, 1979",,ICZN,accepted,,,Amphalius manosus
"Lewis, CoL, FMNH, GBIF, NMNH",139,,,,,,,,"Amphalius runatus necopinus (Jordan & Rothschild, 1925)",,Amphalius runatus,,,,1925,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,runatus,necopinus,subspecies,,"(Jordan & Rothschild, 1925)",,ICZN,accepted,,,Amphalius runatus necopinus
"Lewis, CoL, GBIF, NMNH",140,,,,,,,,"Amphalius runatus runatus (Jordan & Rothschild, 1923)",,Amphalius runatus,,,,1923,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,runatus,runatus,subspecies,,"(Jordan & Rothschild, 1923)",,ICZN,accepted,,,Amphalius runatus runatus
"Lewis, CoL, GBIF",141,,,,,,,,"Amphalius spirataenius badongensis Ji, Chen & Wang, 1981",,Amphalius spirataenius,,,,1981,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,badongensis,subspecies,,"Ji, Chen & Wang, 1981",,ICZN,accepted,,,Amphalius spirataenius badongensis
"Lewis, CoL, GBIF",142,,,,,,,,"Amphalius spirataenius diqingensis Li, Xie & Yang, 1980",,Amphalius spirataenius,,,,1980,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,diqingensis,subspecies,,"Li, Xie & Yang, 1980",,ICZN,accepted,,,Amphalius spirataenius diqingensis
"Lewis, CoL, GBIF",143,,,,,,,,"Amphalius spirataenius heishuiensis Wang, Chen & Zhai, 1983",,Amphalius spirataenius,,,,1983,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,heishuiensis,subspecies,,"Wang, Chen & Zhai, 1983",,ICZN,accepted,,,Amphalius spirataenius heishuiensis
Lewis,144,,,,,,,,"Amphalius spirataenius mengdaensis Wu & Wang, 2002",,Amphalius spirataenius,,,,2002,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,mengdaensis,subspecies,,"Wu & Wang, 2002",,ICZN,accepted,,,Amphalius spirataenius mengdaensis
"Lewis, CoL, GBIF",145,,,,,,,,"Amphalius spirataenius qinghaiensis Li, Xie & Yang, 1980",,Amphalius spirataenius,,,,1980,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,qinghaiensis,subspecies,,"Li, Xie & Yang, 1980",,ICZN,accepted,,,Amphalius spirataenius qinghaiensis
"Lewis, CoL, GBIF",146,,,,,,,,"Amphalius spirataenius spirataenius Liu, Wu & Wu, 1966",,Amphalius spirataenius,,,,1966,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,spirataenius,spirataenius,subspecies,,"Liu, Wu & Wu, 1966",,ICZN,accepted,,,Amphalius spirataenius spirataenius
"Lewis, CoL, GBIF",3497,,,,,,,,"Amphalius Jordan, 1933",,Ceratophyllinae,,,,1933,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphalius,,,,genus,,"Jordan, 1933",,ICZN,accepted,,,Amphalius
Lewis,1957,,1959,,,,,,"Amphipsylla hadweni Ewing, 1927",Mioctenopsylla arctica,Amphipsylla,,,,1927,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Amphipsylla,,hadweni,,species,,"Ewing, 1927",,ICZN,synonym,,,Amphipsylla hadweni
"Lewis, CoL, GBIF, NMNH",291,,,,,,,,"Baculomeris altmani (Tipton & Mendez, 1961)",,Baculomeris,,,,1961,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Baculomeris,,altmani,,species,,"(Tipton & Mendez, 1961)",,ICZN,accepted,,,Baculomeris altmani
"Lewis, CoL, GBIF, NMNH",292,,,,,,,,"Baculomeris schmidti (Traub, 1950)",,Baculomeris,,,,1950,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Baculomeris,,schmidti,,species,,"(Traub, 1950)",,ICZN,accepted,,,Baculomeris schmidti
"Lewis, CoL, GBIF",3510,,,,,,,,"Baculomeris Smit, 1983",,Ceratophyllinae,,,,1983,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Baculomeris,,,,genus,,"Smit, 1983",,ICZN,accepted,,,Baculomeris
"Lewis, GBIF",2377,,3643,,,,,,"Bakerella Wagner, 1930",Orchopeas,Ceratophyllinae,,,,1930,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Bakerella,,,,genus,,"Wagner, 1930",,ICZN,synonym,,,Bakerella
Lewis,1958,,1959,,,,,,"Boreopsyllus hadweni Ewing, 1929",Mioctenopsylla arctica,Boreopsyllus,,,,1929,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Boreopsyllus,,hadweni,,species,,"Ewing, 1929",,ICZN,synonym,,,Boreopsyllus hadweni
"Lewis, GBIF",1962,,3619,,,,,,"Boreopsyllus Ewing, 1929",Mioctenopsylla,Ceratophyllinae,,,,1929,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Boreopsyllus,,,,genus,,"Ewing, 1929",,ICZN,synonym,,,Boreopsyllus
"Lewis, CoL, GBIF",313,,,,,,,,"Brevictenidia mikulini (Shvarts, 1960)",,Brevictenidia,,,,1960,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Brevictenidia,,mikulini,,species,,"(Shvarts, 1960)",,ICZN,accepted,,,Brevictenidia mikulini
"Lewis, CoL, GBIF",3515,,,,,,,,"Brevictenidia Liu & Li, 1965",,Ceratophyllinae,,,,1965,,Animalia,Arthropoda,Insecta,,,Siphonaptera,,,,,,Ceratophyllidae,Ceratophyllinae,,,Brevictenidia,,,,genus,,"Liu & Li, 1965",,ICZN,accepted,,,Brevictenidia
