source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
Lewis,Animalia,Ceratophyllidae,Species,"(Prince, 1959)",,Amaradix vonfintelis,Amaradix vonfintelis,Amaradix
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Smit, 1983",,Amaradix,Amaradix,Ceratophyllinae
Lewis,Animalia,Ceratophyllidae,Subspecies,"Jordan, 1929",,Amonopsyllus ciliatus mononis,Amonopsyllus ciliatus,Amonopsyllus
Lewis,Animalia,Ceratophyllidae,Subspecies,"Jordan, 1929",,Amonopsyllus ciliatus protinus,Amonopsyllus ciliatus,Amonopsyllus
Lewis,Animalia,Ceratophyllidae,Species,"Baker, 1904",,Amonopsyllus ciliatus,Amonopsyllus ciliatus,Amonopsyllus
"Lewis, GBIF",Animalia,Ceratophyllidae,Genus,"Wagner, 1938",,Amonopsyllus,Amonopsyllus,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Jordan & Rothschild, 1922)",,Amphalius clarus clarus,Amphalius clarus clarus,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Yu & Wang, 1981",,Amphalius clarus kunlunensis,Amphalius clarus kunlunensis,Amphalius
Lewis,Animalia,Ceratophyllidae,Subspecies,"Yu, Ye & Xie, 1987",,Amphalius clarus tianshanensis,Amphalius clarus tianshanensis,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Li, 1979",,Amphalius manosus,Amphalius manosus,Amphalius
"Lewis, CoL, FMNH, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Jordan & Rothschild, 1925)",,Amphalius runatus necopinus,Amphalius runatus necopinus,Amphalius
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Jordan & Rothschild, 1923)",,Amphalius runatus runatus,Amphalius runatus runatus,Amphalius
