source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,33,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,bedfordi,NA,,,"Ferris, 1932",,,,,,Linognathus bedfordi
TPT_v1,34,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,setosus,NA,,,"(von Olfers, 1816)",,,,,,Linognathus setosus
TPT_v1,35,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,bhatii,NA,,,"Dutta, 1988",,,,,,Linognathus bhatii
TPT_v1,36,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,breviceps,NA,,,"(Piaget, 1885)",,,,,,Linognathus breviceps
TPT_v1,37,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,brevicornis,NA,,,"(Giebel, 1874)",,,,,,Linognathus brevicornis
TPT_v1,38,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,cervicaprae,NA,,,"(Lucas, 1847)",,,,,,Linognathus cervicaprae
TPT_v1,39,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,contractus,NA,,,"Werneck, 1959",,,,,,Linognathus contractus
TPT_v1,40,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,damaliscus,NA,,,"Bedford, 1936",,,,,,Linognathus damaliscus
TPT_v1,41,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,damarensis,NA,,,"Ledger, 1971",,,,,,Linognathus damarensis
TPT_v1,42,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,digitalis,NA,,,"Kleynhans, 1968",,,,,,Linognathus digitalis
TPT_v1,43,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,elblae,NA,,,"Benoit, 1969",,,,,,Linognathus elblae
TPT_v1,44,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,euchore,NA,,,"Waterston, 1914",,,,,,Linognathus euchore
TPT_v1,45,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,fahrenholzi,NA,,,"Paine, 1914",,,,,,Linognathus fahrenholzi
TPT_v1,46,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,fenneci,NA,,,"Fiedler & Stampa, 1958",,,,,,Linognathus fenneci
TPT_v1,47,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,fractus,NA,,,"Ferris, 1932",,,,,,Linognathus fractus
TPT_v1,48,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,geigyi,NA,,,"Buttiker, 1949",,,,,,Linognathus geigyi
TPT_v1,49,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,gnu,NA,,,"Bedford, 1927",,,,,,Linognathus gnu
TPT_v1,50,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,gonolobatus,NA,,,"Weisser & Ledger, 1977",,,,,,Linognathus gonolobatus
TPT_v1,51,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,gorgonus,NA,,,"Bedford, 1929",,,,,,Linognathus gorgonus
TPT_v1,52,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,hippotragi,NA,,,"Ferris, 1932",,,,,,Linognathus hippotragi
TPT_v1,53,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,kimi,NA,,,"van der Merwe, 1968",,,,,,Linognathus kimi
TPT_v1,54,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,lewisi,NA,,,"Bedford, 1934",,,,,,Linognathus lewisi
TPT_v1,55,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,limnotragi,NA,,,"Cummings, 1913",,,,,,Linognathus limnotragi
TPT_v1,56,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,nesotragi,NA,,,"van der Merwe, 1968",,,,,,Linognathus nesotragi
TPT_v1,57,,0,,,,,,,,,,,,,,,,,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,NA,Linognathidae,,,,Linognathus,NA,nevilli,NA,,,"Ledger, 1973",,,,,,Linognathus nevilli
