rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
220,sachalinensis,,Alexandromys,,,Alexandromys sachalinensis
180,Alionycteris,,Pteropodidae,,,
220,paucidentata,,Alionycteris,,,Alionycteris paucidentata
140,Dipodidae,,Rodentia,,,
180,Allactaga,,Dipodidae,,,
220,major,,Allactaga,,,Allactaga major
220,severtzovi,,Allactaga,,,Allactaga severtzovi
180,Allactodipus,,Dipodidae,,,
220,bobrinskii,,Allactodipus,,,Allactodipus bobrinskii
100,Primates,,Mammalia,,,
140,Cercopithecidae,,Primates,,,
180,Allenopithecus,,Cercopithecidae,,,
220,nigroviridis,,Allenopithecus,,,Allenopithecus nigroviridis
140,Cheirogaleidae,,Primates,,,
180,Allocebus,,Cheirogaleidae,,,
220,trichotis,,Allocebus,,,Allocebus trichotis
180,Allochrocebus,,Cercopithecidae,,,
220,lhoesti,,Allochrocebus,,,Allochrocebus lhoesti
220,preussi,,Allochrocebus,,,Allochrocebus preussi
220,solatus,,Allochrocebus,,,Allochrocebus solatus
180,Allocricetulus,,Cricetidae,,,
220,curtatus,,Allocricetulus,,,Allocricetulus curtatus
220,eversmanni,,Allocricetulus,,,Allocricetulus eversmanni
140,Atelidae,,Primates,,,
180,Alouatta,,Atelidae,,,
220,arctoidea,,Alouatta,,,Alouatta arctoidea
220,belzebul,,Alouatta,,,Alouatta belzebul
220,caraya,,Alouatta,,,Alouatta caraya
220,discolor,,Alouatta,,,Alouatta discolor
220,guariba,,Alouatta,,,Alouatta guariba
220,macconnelli,,Alouatta,,,Alouatta macconnelli
220,nigerrima,,Alouatta,,,Alouatta nigerrima
220,palliata,,Alouatta,,,Alouatta palliata
220,pigra,,Alouatta,,,Alouatta pigra
220,sara,,Alouatta,,,Alouatta sara
220,seniculus,,Alouatta,,,Alouatta seniculus
220,ululata,,Alouatta,,,Alouatta ululata
180,Alticola,,Cricetidae,,,
220,albicaudus,,Alticola,,,Alticola albicaudus
220,argentatus,,Alticola,,,Alticola argentatus
220,barakshin,,Alticola,,,Alticola barakshin
220,lemminus,,Alticola,,,Alticola lemminus
220,montosa,,Alticola,,,Alticola montosa
220,olchonensis,,Alticola,,,Alticola olchonensis
