source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,29,,,,,,,,"Linognathus angulatus (Fahrenholz, 1939)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,angulatus,,species,,"(Fahrenholz, 1939)",,,,,,Linognathus angulatus
TPT_v1,30,,,,,,,,"Linognathus antennatus (Piaget, 1880)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,antennatus,,species,,"(Piaget, 1880)",,,,,,Linognathus antennatus
TPT_v1,31,,,,,,,,"Linognathus antidorcitis Fiedler & Stampa, 1956",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,antidorcitis,,species,,"Fiedler & Stampa, 1956",,,,,,Linognathus antidorcitis
TPT_v1,32,,,,,,,,"Linognathus armatus Fiedler & Stampa, 1958",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,armatus,,species,,"Fiedler & Stampa, 1958",,,,,,Linognathus armatus
TPT_v1,33,,,,,,,,"Linognathus bedfordi Ferris, 1932",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,bedfordi,,species,,"Ferris, 1932",,,,,,Linognathus bedfordi
TPT_v1,34,,,,,,,,"Linognathus setosus (von Olfers, 1816)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,setosus,,species,,"(von Olfers, 1816)",,,,,,Linognathus setosus
TPT_v1,35,,,,,,,,"Linognathus bhatii Dutta, 1988",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,bhatii,,species,,"Dutta, 1988",,,,,,Linognathus bhatii
TPT_v1,36,,,,,,,,"Linognathus breviceps (Piaget, 1885)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,breviceps,,species,,"(Piaget, 1885)",,,,,,Linognathus breviceps
TPT_v1,37,,,,,,,,"Linognathus brevicornis (Giebel, 1874)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,brevicornis,,species,,"(Giebel, 1874)",,,,,,Linognathus brevicornis
TPT_v1,38,,,,,,,,"Linognathus cervicaprae (Lucas, 1847)",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,cervicaprae,,species,,"(Lucas, 1847)",,,,,,Linognathus cervicaprae
TPT_v1,39,,,,,,,,"Linognathus contractus Werneck, 1959",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,contractus,,species,,"Werneck, 1959",,,,,,Linognathus contractus
TPT_v1,40,,,,,,,,"Linognathus damaliscus Bedford, 1936",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,damaliscus,,species,,"Bedford, 1936",,,,,,Linognathus damaliscus
TPT_v1,41,,,,,,,,"Linognathus damarensis Ledger, 1971",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,damarensis,,species,,"Ledger, 1971",,,,,,Linognathus damarensis
TPT_v1,42,,,,,,,,"Linognathus digitalis Kleynhans, 1968",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,digitalis,,species,,"Kleynhans, 1968",,,,,,Linognathus digitalis
TPT_v1,43,,,,,,,,"Linognathus elblae Benoit, 1969",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,elblae,,species,,"Benoit, 1969",,,,,,Linognathus elblae
