source,rankID,scientificNameID,acceptedNameUsageID,parentNameUsage,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,220,,,Acanthiza,,,,,Acanthiza pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,pusilla,,,,,Acanthiza pusilla archibaldi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,pusilla,,,,,Acanthiza pusilla dawsonensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,pusilla,,,,,Acanthiza pusilla diemenensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,pusilla,,,,,Acanthiza pusilla pusilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,pusilla,,,,,Acanthiza pusilla zietzi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,reguloides,,,,,Acanthiza reguloides australis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,reguloides,,,,,Acanthiza reguloides nesa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,reguloides,,,,,Acanthiza reguloides reguloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,reguloides,,,,,Acanthiza reguloides squamata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza robustirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthiza,,,,,Acanthiza uropygialis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthorhynchus,,,,,Acanthorhynchus superciliosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthorhynchus,,,,,Acanthorhynchus tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,tenuirostris,,,,,Acanthorhynchus tenuirostris cairnsensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,tenuirostris,,,,,Acanthorhynchus tenuirostris dubius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,tenuirostris,,,,,Acanthorhynchus tenuirostris halmaturinus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,tenuirostris,,,,,Acanthorhynchus tenuirostris tenuirostris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Acanthornis,,,,,Acanthornis magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,magna,,,,,Acanthornis magna greeniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,magna,,,,,Acanthornis magna magna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Accipiter albogularis albogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Accipiter albogularis eichhorni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Accipiter albogularis gilvus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Accipiter albogularis sharpei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,albogularis,,,,,Accipiter albogularis woodfordi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius badius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius cenchroides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius dussumieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius poliopsis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius polyzonoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,badius,,,,,Accipiter badius sphenurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,bicolor,,,,,Accipiter bicolor bicolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,bicolor,,,,,Accipiter bicolor chilensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,bicolor,,,,,Accipiter bicolor fidens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,bicolor,,,,,Accipiter bicolor guttifer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,bicolor,,,,,Accipiter bicolor pileatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter brachyurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter brevipes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter butleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,butleri,,,,,Accipiter butleri butleri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,butleri,,,,,Accipiter butleri obsoletus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter castanilius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter cirrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,cirrocephalus,,,,,Accipiter cirrocephalus cirrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,cirrocephalus,,,,,Accipiter cirrocephalus papuanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,cirrocephalus,,,,,Accipiter cirrocephalus rosselianus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter collaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter cooperii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter erythrauchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,erythrauchen,,,,,Accipiter erythrauchen ceramensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,erythrauchen,,,,,Accipiter erythrauchen erythrauchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter erythropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,erythropus,,,,,Accipiter erythropus erythropus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,erythropus,,,,,Accipiter erythropus zenkeri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
