"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TRANSGARIEPINUS","","","(WHITE)","Argas transgariepinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TRANSGARIEPINUS","","WHITE","(WHITE)","Argas transgariepinus white"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TRANSVERSUS","","","BANKS","Argas transversus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TRIDENTATUS","","","FILIPPOVA","Argas tridentatus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","TYTO","","","","Argas tyto"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","VESPERTILIONIS","","","(LATREILLE)","Argas vespertilionis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","VULGARIS","","","FILIPPOVA","Argas vulgaris"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","WALKARAE","","","KAISER  HOOGSTRAAL  KOHLS 1969","Argas walkarae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Argas","ZUMPTI","","","HOOGSTRAAL  KAISER  KOHLS 1968","Argas zumpti"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","batuensis","","","","Carios batuensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","capensis","","","(Neumann)","Carios capensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","fonsecai","","","M. B. Labruna & J. M. Venzal, 2009","Carios fonsecai"
