source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros marinkellei,Ornithodoros marinkellei,Nuttalliella
,Animalia,Argasidae,Species,Vermeil & Marguet,,Ornithodoros maritimus,Ornithodoros maritimus,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros marmosae,Ornithodoros marmosae,Nuttalliella
,Animalia,Argasidae,Species,(Lucas),,Ornithodoros marocanus,Ornithodoros marocanus,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros megnini,Ornithodoros megnini,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros mimon,Ornithodoros mimon,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros mormoops,Ornithodoros mormoops,Nuttalliella
,Animalia,Argasidae,Species,(Murray),,Ornithodoros moubata,Ornithodoros moubata,Nuttalliella
,Animalia,Argasidae,Subspecies,Walton,,Ornithodoros moubata porcinus,Ornithodoros moubata porcinus,Nuttalliella
,Animalia,Argasidae,Subspecies,(Murray),,Ornithodoros moubata moubata,Ornithodoros moubata moubata,Nuttalliella
,Animalia,Argasidae,Subspecies,(Walton),,Ornithodoros moubata domesticus,Ornithodoros moubata domesticus,Nuttalliella
,Animalia,Argasidae,Species,Hoogstraal,,Ornithodoros muesebecki,Ornithodoros muesebecki,Nuttalliella
,Animalia,Argasidae,Species,Pavlovsky,,Ornithodoros nereensis,Ornithodoros nereensis,Nuttalliella
,Animalia,Argasidae,Species,Mooser,,Ornithodoros nicollei,Ornithodoros nicollei,Nuttalliella
,Animalia,Argasidae,Species,Larrousse,,Ornithodoros normandi,Ornithodoros normandi,Nuttalliella
,Animalia,Argasidae,Species,"Moorhouse, Hoogstraal, Wolf & Cliffo",,Ornithodoros papuensis,Ornithodoros papuensis,Nuttalliella
,Animalia,Argasidae,Species,"Cooley, 1936",,Ornithodoros parkeri,Ornithodoros parkeri,Nuttalliella
,Animalia,Argasidae,Species,Bedford & Hewitt,,Ornithodoros perengueyi,Ornithodoros perengueyi,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros peropteryx,Ornithodoros peropteryx,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros peruvianus,Ornithodoros peruvianus,Nuttalliella
,Animalia,Argasidae,Species,(Schulze),,Ornithodoros peusi,Ornithodoros peusi,Nuttalliella
,Animalia,Argasidae,Species,Warburton,,Ornithodoros piriformis,Ornithodoros piriformis,Nuttalliella
,Animalia,Argasidae,Subspecies,Walton,,Ornithodoros porcinus porcinus,Ornithodoros porcinus porcinus,Nuttalliella
,Animalia,Argasidae,Species,Walton,,Ornithodoros porcinus,Ornithodoros porcinus,Nuttalliella
,Animalia,Argasidae,Species,Fox,,Ornithodoros puertoricensis,Ornithodoros puertoricensis,Nuttalliella
,Animalia,Argasidae,Species,Clifford & Sonenshine,,Ornithodoros rennellensis,Ornithodoros rennellensis,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros reticulinsus,Ornithodoros reticulinsus,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Sonenshine & Clifford",,Ornithodoros rossi,Ornithodoros rossi,Nuttalliella
,Animalia,Argasidae,Species,Aragao,,Ornithodoros rostratus,Ornithodoros rostratus,Nuttalliella
,Animalia,Argasidae,Species,Karsch,,Ornithodoros rudis,Ornithodoros rudis,Nuttalliella
,Animalia,Argasidae,Species,"Hoogstraal, 1953",,Ornithodoros salahi,Ornithodoros salahi,Nuttalliella
,Animalia,Argasidae,Species,(Audouin),,Ornithodoros savignyi,Ornithodoros savignyi,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros serrai,Ornithodoros serrai,Nuttalliella
,Animalia,Argasidae,Species,"Kohls, Clifford & Jones",,Ornithodoros setosus,Ornithodoros setosus,Nuttalliella
,Animalia,Argasidae,Species,Dumbleton,,Ornithodoros solomonis,Ornithodoros solomonis,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros sonrai,Ornithodoros sonrai,Nuttalliella
,Animalia,Argasidae,Species,"Kohls & Clifford, 1963",,Ornithodoros sparnus,Ornithodoros sparnus,Nuttalliella
,Animalia,Argasidae,Species,,,Ornithodoros spheniscus,Ornithodoros spheniscus,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros stageri,Ornithodoros stageri,Nuttalliella
,Animalia,Argasidae,Species,(Schulze),,Ornithodoros steini,Ornithodoros steini,Nuttalliella
,Animalia,Argasidae,Species,(Guerin-meneville),,Ornithodoros talaje,Ornithodoros talaje,Nuttalliella
,Animalia,Argasidae,Species,Olenev,,Ornithodoros tartakovskyi,Ornithodoros tartakovskyi,Nuttalliella
,Animalia,Argasidae,Subspecies,Birula,,Ornithodoros tholozani papillipes,Ornithodoros tholozani papillipes,Nuttalliella
,Animalia,Argasidae,Subspecies,Brumpt,,Ornithodoros tholozani crossi,Ornithodoros tholozani crossi,Nuttalliella
,Animalia,Argasidae,Species,Laboulbene & Megnin,,Ornithodoros tholozani,Ornithodoros tholozani,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros tiptoni,Ornithodoros tiptoni,Nuttalliella
,Animalia,Argasidae,Species,(Duges),,Ornithodoros turicata,Ornithodoros turicata,Nuttalliella
,Animalia,Argasidae,Species,Jones & Clifford,,Ornithodoros tuttlei,Ornithodoros tuttlei,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Hoogstraal & Clifford, 1977",,Ornithodoros vansomereni,Ornithodoros vansomereni,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros viguerasi,Ornithodoros viguerasi,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Clifford & Hoogstraal",,Ornithodoros vunkeri,Ornithodoros vunkeri,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Clifford & Hoogstraal",,Ornithodoros yukeri,Ornithodoros yukeri,Nuttalliella
,Animalia,Argasidae,Species,"Keirans, Clifford & Hoogstraal, 1984",,Ornithodoros yunkeri,Ornithodoros yunkeri,Nuttalliella
,Animalia,Argasidae,Species,"Cooley & Kohls, 1941",,Ornithodoros yumatensis,Ornithodoros yumatensis,Nuttalliella
,Animalia,Argasidae,Species,Heisch & Guggisberg,,Ornithodoros zumpti,Ornithodoros zumpti,Nuttalliella
,Animalia,Argasidae,Species,Cooley & Kohls,,Otobius lagophilus,Otobius lagophilus,Nuttalliella
,Animalia,Argasidae,Species,(Duges),,Otobius megnini,Otobius megnini,Nuttalliella
,Animalia,Argasidae,Species,"Keirans & Clifford, 1975",,Nothoaspis reddelli,Nothoaspis reddelli,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1907",,Amblyomma albolimbatum,Amblyomma albolimbatum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma albopictum,Amblyomma albopictum,Nuttalliella
,Animalia,Ixodidae,Species,"(Linnaeus, 1758)",,Amblyomma americanum,Amblyomma americanum,Nuttalliella
,Animalia,Ixodidae,Species,"Kohls, 1969",,Amblyomma antillorum,Amblyomma antillorum,Nuttalliella
,Animalia,Ixodidae,Species,"Keirans & Garris, 1986",,Amblyomma arianae,Amblyomma arianae,Nuttalliella
,Animalia,Ixodidae,Species,"Donitz, 1909",,Amblyomma astrion,Amblyomma astrion,Nuttalliella
,Animalia,Ixodidae,Species,"(Pallas, 1772)",,Amblyomma aureolatum,Amblyomma aureolatum,Nuttalliella
,Animalia,Ixodidae,Species,"(Conil, 1878)",,Amblyomma auricularium,Amblyomma auricularium,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1905",,Amblyomma australiense,Amblyomma australiense,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma avecolens,Amblyomma avecolens,Nuttalliella
,Animalia,Ixodidae,Species,"Schulze, 1933",,Amblyomma babirussae,Amblyomma babirussae,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma boeroi,Amblyomma boeroi,Nuttalliella
,Animalia,Ixodidae,Subspecies,,,Amblyomma borneense infestum,Amblyomma borneense infestum,Nuttalliella
,Animalia,Ixodidae,Species,"Hirst & Hirst, 1910",,Amblyomma boulengeri,Amblyomma boulengeri,Nuttalliella
,Animalia,Ixodidae,Species,"Aragão, 1908",,Amblyomma brasiliense,Amblyomma brasiliense,Nuttalliella
,Animalia,Ixodidae,Species,"(Fabricius, 1787)",,Amblyomma cajennense,Amblyomma cajennense,Nuttalliella
,Animalia,Ixodidae,Species,"Roberts, 1963",,Amblyomma calabyi,Amblyomma calabyi,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma calcaratum,Amblyomma calcaratum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma castanedai,Amblyomma castanedai,Nuttalliella
,Animalia,Ixodidae,Species,"Rageau, 1964",,Amblyomma chabaudi,Amblyomma chabaudi,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma clypeolatum,Amblyomma clypeolatum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma coelebs,Amblyomma coelebs,Nuttalliella
,Animalia,Ixodidae,Species,"Donitz, 1909",,Amblyomma cohaerens,Amblyomma cohaerens,Nuttalliella
,Animalia,Ixodidae,Species,"(Macalister, 1872)",,Amblyomma compressum,Amblyomma compressum,Nuttalliella
,Animalia,Ixodidae,Species,"Nuttall & Warburton, 1908",,Amblyomma cooperi,Amblyomma cooperi,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma cordiferum,Amblyomma cordiferum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma crassipes,Amblyomma crassipes,Nuttalliella
,Animalia,Ixodidae,Species,"Robinson, 1926",,Amblyomma crassum,Amblyomma crassum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1901",,Amblyomma cruciferum,Amblyomma cruciferum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma cyprium,Amblyomma cyprium,Nuttalliella
,Animalia,Ixodidae,Species,"Hirst & Hirst, 1910",,Amblyomma darwini,Amblyomma darwini,Nuttalliella
,Animalia,Ixodidae,Subspecies,,,Amblyomma darwini wollebaeki,Amblyomma darwini wollebaeki,Nuttalliella
,Animalia,Ixodidae,Species,"Koch, 1844",,Amblyomma dissimile,Amblyomma dissimile,Nuttalliella
,Animalia,Ixodidae,Species,"Gerstacker, 1873",,Amblyomma eburneum,Amblyomma eburneum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma elaphense,Amblyomma elaphense,Nuttalliella
,Animalia,Ixodidae,Species,(Koch),,Amblyomma exortum,Amblyomma exortum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma extraoculatum,Amblyomma extraoculatum,Nuttalliella
,Animalia,Ixodidae,Species,"Tonelli-Rondelli, 1935",,Amblyomma falsomarmoreum,Amblyomma falsomarmoreum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma fimbriatum,Amblyomma fimbriatum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma flavomaculatum,Amblyomma flavomaculatum,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma formosanum,Amblyomma formosanum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma fulvum,Amblyomma fulvum,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma geayi,Amblyomma geayi,Nuttalliella
,Animalia,Ixodidae,Species,"Donitz, 1909",,Amblyomma gemma,Amblyomma gemma,Nuttalliella
