source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
TPT_v1,Animalia,Philopteridae,Subspecies," Denny, 1842",,Lunaceps numenii phaeopi,Lunaceps numenii phaeopi,Lunaceps
TPT_v1,Animalia,Philopteridae,Subspecies," Timmermann, 1954",,Lunaceps numenii hopkinsi,Lunaceps numenii hopkinsi,Lunaceps
TPT_v1,Animalia,Philopteridae,Subspecies," Timmermann, 1954",,Lunaceps numenii lissmanni,Lunaceps numenii lissmanni,Lunaceps
TPT_v1,Animalia,Philopteridae,Subspecies," Timmermann, 1954",,Lunaceps numenii rileyi,Lunaceps numenii rileyi,Lunaceps
TPT_v1,Animalia,Philopteridae,Subspecies,,,Lunaceps numenii oliveri,Lunaceps numenii oliveri,Lunaceps
TPT_v1,Animalia,Menoponidae,Species," Eichler & Zlotorzycka, 1963",,Cuculiphilus contrastus,Cuculiphilus contrastus,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Eichler & Zlotorzycka, 1963",,Cuculiphilus secundus,Cuculiphilus secundus,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species," Blagoveshtchensky, 1967",,Bovicola bison,Bovicola bison,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1880",,Bovicola pilosus,Bovicola pilosus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Kellogg & Nakayama, 1915",,Bovicola hermsi,Bovicola hermsi,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Gaschen, 1951",,Bovicola ibicis,Bovicola ibicis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1880",,Bovicola penicillatus,Bovicola penicillatus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola pilosus,Bovicola pilosus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Torreggiani, 1910",,Bovicola aucheniaelamae,Bovicola aucheniaelamae,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1885",,Bovicola inaequalemaculatus,Bovicola inaequalemaculatus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola breviceps,Bovicola breviceps,Bovicola
TPT_v1,Animalia,Menoponidae,Species,,,Cuculiphilus megaspinus,Cuculiphilus megaspinus,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola hemitragi,Bovicola hemitragi,Bovicola
TPT_v1,Animalia,Menoponidae,Species," Eichler, 1948",,Cuculiphilus coragypsis,Cuculiphilus coragypsis,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species,,,Cuculiphilus alternatum,Cuculiphilus alternatum,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species," Packard, 1870",,Bovicola caprae,Bovicola caprae,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Giebel, 1861",,Bovicola climacius,Bovicola climacius,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Nitzsch, 1861",,Bovicola climax,Bovicola climax,Bovicola
