source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical,,
,,,,,,,,,Carios kelleyi Cooley & Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,kelleyi,,,,Cooley & Kohls,,,,,,Carios kelleyi,,
,,,,,,,,,Carios rioplatensis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rioplatensis,,,,,,,,,,Carios rioplatensis,,
,,,,,,,,,"Carios rondoniensis Labruna, 2007",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,rondoniensis,,,,"Labruna, 2007",,,,,,Carios rondoniensis,,
,,,,,,,,,Carios vespertilionis ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,vespertilionis,,,,,,,,,,Carios vespertilionis,,
,,,,,,,,,Ornithodoros acinus Whittick,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,acinus,,,,Whittick,,,,,,Ornithodoros acinus,,
,,,,,,,,,"Ornithodoros afrimeropsis Hoogstraal, Keirans, Clifford & Van",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,afrimeropsis,,,,"Hoogstraal, Keirans, Clifford & Van",,,,,,Ornithodoros afrimeropsis,,
,,,,,,,,,Ornithodoros alactagalis Issaakjan,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,alactagalis,,,,Issaakjan,,,,,,Ornithodoros alactagalis,,
,,,,,,,,,Ornithodoros amblum Chamberlin,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblum,,,,Chamberlin,,,,,,Ornithodoros amblum,,
,,,,,,,,,Ornithodoros amblus Chamberlain,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,amblus,,,,Chamberlain,,,,,,Ornithodoros amblus,,
,,,,,,,,,"Ornithodoros anduzei MATHESON, 1941",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,anduzei,,,,"MATHESON, 1941",,,,,,Ornithodoros anduzei,,
,,,,,,,,,Ornithodoros apertus Walton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,apertus,,,,Walton,,,,,,Ornithodoros apertus,,
,,,,,,,,,"Ornithodoros aquilae Cooley, 1944",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,aquilae,,,,"Cooley, 1944",,,,,,Ornithodoros aquilae,,
,,,,,,,,,"Ornithodoros arenicolous Hoogstraal, 1953",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,arenicolous,,,,"Hoogstraal, 1953",,,,,,Ornithodoros arenicolous,,
,,,,,,,,,Ornithodoros asperus Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,asperus,,,,Warburton,,,,,,Ornithodoros asperus,,
,,,,,,,,,"Ornithodoros azteci Matheson, 1935",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,azteci,,,,"Matheson, 1935",,,,,,Ornithodoros azteci,,
,,,,,,,,,Ornithodoros batuensis Hirst,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,batuensis,,,,Hirst,,,,,,Ornithodoros batuensis,,
,,,,,,,,,"Ornithodoros boliviensis Kohls & Clifford, 1964",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,boliviensis,,,,"Kohls & Clifford, 1964",,,,,,Ornithodoros boliviensis,,
,,,,,,,,,Ornithodoros brasiliensis Aragao,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brasiliensis,,,,Aragao,,,,,,Ornithodoros brasiliensis,,
,,,,,,,,,Ornithodoros brodyi Matheson,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,brodyi,,,,Matheson,,,,,,Ornithodoros brodyi,,
,,,,,,,,,Ornithodoros canestrini (Birula),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,canestrini,,,,(Birula),,,,,,Ornithodoros canestrini,,
,,,,,,,,,Ornithodoros canestrinii (Birula),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,canestrinii,,,,(Birula),,,,,,Ornithodoros canestrinii,,
,,,,,,,,,Ornithodoros capensis Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,capensis,,,,Neumann,,,,,,Ornithodoros capensis,,
,,,,,,,,,Ornithodoros casebeeri Jones & Clifford,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,casebeeri,,,,Jones & Clifford,,,,,,Ornithodoros casebeeri,,
,,,,,,,,,Ornithodoros chironectes Jones & Clifford,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,chironectes,,,,Jones & Clifford,,,,,,Ornithodoros chironectes,,
,,,,,,,,,Ornithodoros chiropterphila Dhanda & Rajagopalan,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,chiropterphila,,,,Dhanda & Rajagopalan,,,,,,Ornithodoros chiropterphila,,
,,,,,,,,,Ornithodoros clarki Jones & Clifford,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,clarki,,,,Jones & Clifford,,,,,,Ornithodoros clarki,,
,,,,,,,,,"Ornithodoros collocaliae Hoogstraal, Kadarsan, Kaiser, Van & Peenen, 1974",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,collocaliae,,,,"Hoogstraal, Kadarsan, Kaiser, Van & Peenen, 1974",,,,,,Ornithodoros collocaliae,,
,,,,,,,,,Ornithodoros compactus Walton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,compactus,,,,Walton,,,,,,Ornithodoros compactus,,
,,,,,,,,,"Ornithodoros concanensis Cooley & Kohls, 1941",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Ornithodoros,,concanensis,,,,"Cooley & Kohls, 1941",,,,,,Ornithodoros concanensis,,
