source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical,,
,,,,,,,,,Haemaphysalis nepalensis Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Herpetobia,nepalensis,,,,Hoogstraal,,,,,,Haemaphysalis nepalensis,,
,,,,,,,,,"Haemaphysalis nesomys Hoogstraal, Uilenberg & Klein, 1966",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Dermaphysalis,nesomys,,,,"Hoogstraal, Uilenberg & Klein, 1966",,,,,,Haemaphysalis nesomys,,
,,,,,,,,,Haemaphysalis neumanni ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,neumanni,,,,,,,,,,Haemaphysalis neumanni,,
,,,,,,,,,"Haemaphysalis norvali Hoogstral & Wassef, 1983",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,norvali,,,,"Hoogstral & Wassef, 1983",,,,,,Haemaphysalis norvali,,
,,,,,,,,,Haemaphysalis novaeguineae Hirst,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,novaeguineae,,,,Hirst,,,,,,Haemaphysalis novaeguineae,,
,,,,,,,,,Haemaphysalis obesa Larrousse,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Paraphysalis,obesa,,,,Larrousse,,,,,,Haemaphysalis obesa,,
,,,,,,,,,Haemaphysalis obtusa Doenitz,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,obtusa,,,,Doenitz,,,,,,Haemaphysalis obtusa,,
,,,,,,,,,"Haemaphysalis oliveri Apanaskevich & Horak, 2008",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,oliveri,,,,"Apanaskevich & Horak, 2008",,,,,,Haemaphysalis oliveri,,
,,,,,,,,,Haemaphysalis orientalis Nuttall & Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,orientalis,,,,Nuttall & Warburton,,,,,,Haemaphysalis orientalis,,
,,,,,,,,,Haemaphysalis ornithophila Hoogstraal & Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,ornithophila,,,,Hoogstraal & Kohls,,,,,,Haemaphysalis ornithophila,,
,,,,,,,,,Haemaphysalis palawanensis Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Paraphysalis,palawanensis,,,,Kohls,,,,,,Haemaphysalis palawanensis,,
,,,,,,,,,Haemaphysalis palustris palustris ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,palustris,palustris,,,,,,,,,Haemaphysalis palustris palustris,,
,,,,,,,,,"Haemaphysalis papua dchatrami Hoogstraal, Trapido & Kohls",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,papua,dchatrami,,,"Hoogstraal, Trapido & Kohls",,,,,,Haemaphysalis papua dchatrami,,
,,,,,,,,,Haemaphysalis papua papua Thorell,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,papua,papua,,,Thorell,,,,,,Haemaphysalis papua papua,,
,,,,,,,,,Haemaphysalis papua Thorell,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,papua,,,,Thorell,,,,,,Haemaphysalis papua,,
,,,,,,,,,Haemaphysalis paraleachi paraleachi Camicas & Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,paraleachi,paraleachi,,,Camicas & Hoogstraal,,,,,,Haemaphysalis paraleachi paraleachi,,
,,,,,,,,,Haemaphysalis paraleachi walkerae Camicas & Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,paraleachi,walkerae,,,Camicas & Hoogstraal,,,,,,Haemaphysalis paraleachi walkerae,,
,,,,,,,,,Haemaphysalis paraleachi Camicas & Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,paraleachi,,,,Camicas & Hoogstraal,,,,,,Haemaphysalis paraleachi,,
,,,,,,,,,"Haemaphysalis paraturturis Hoogstraal, Trapido & Rebello, 1963",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Subkaiseria,paraturturis,,,,"Hoogstraal, Trapido & Rebello, 1963",,,,,,Haemaphysalis paraturturis,,
,,,,,,,,,Haemaphysalis parmata Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,parmata,,,,Neumann,,,,,,Haemaphysalis parmata,,
,,,,,,,,,Haemaphysalis parva (Neumann),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Paraphysalis,parva,,,,(Neumann),,,,,,Haemaphysalis parva,,
,,,,,,,,,Haemaphysalis pavlovskyi Pospelova-Shtrom,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,pavlovskyi,,,,Pospelova-Shtrom,,,,,,Haemaphysalis pavlovskyi,,
,,,,,,,,,Haemaphysalis pedetes Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,pedetes,,,,Hoogstraal,,,,,,Haemaphysalis pedetes,,
,,,,,,,,,Haemaphysalis pentalagi Pospelova-Shtrom,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Haemaphysalis,pentalagi,,,,Pospelova-Shtrom,,,,,,Haemaphysalis pentalagi,,
,,,,,,,,,Haemaphysalis petrogalis Roberts,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,petrogalis,,,,Roberts,,,,,,Haemaphysalis petrogalis,,
,,,,,,,,,"Haemaphysalis phasia Saito, Hoogstraal & Wassef",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,phasia,,,,"Saito, Hoogstraal & Wassef",,,,,,Haemaphysalis phasia,,
,,,,,,,,,"Haemaphysalis pospelovashtromae Hoogstraal, 1966",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Allophysalis,pospelovashtromae,,,,"Hoogstraal, 1966",,,,,,Haemaphysalis pospelovashtromae,,
,,,,,,,,,"Haemaphysalis psalistos Hoogstraal, El & Kammah",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,psalistos,,,,"Hoogstraal, El & Kammah",,,,,,Haemaphysalis psalistos,,
,,,,,,,,,"Haemaphysalis punctaleachi Camicas, Hoogstraal & El Kammah",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,punctaleachi,,,,"Camicas, Hoogstraal & El Kammah",,,,,,Haemaphysalis punctaleachi,,
,,,,,,,,,Haemaphysalis punctata abomisalis Canestrini & Fanzago,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Aboimisalis,punctata,abomisalis,,,Canestrini & Fanzago,,,,,,Haemaphysalis punctata abomisalis,,
,,,,,,,,,Haemaphysalis punctata cinbari Canestrini & Fanzago,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Aboimisalis,punctata,cinbari,,,Canestrini & Fanzago,,,,,,Haemaphysalis punctata cinbari,,
,,,,,,,,,Haemaphysalis punctata Canestrini & Fanzago,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Aboimisalis,punctata,,,,Canestrini & Fanzago,,,,,,Haemaphysalis punctata,,
,,,,,,,,,Haemaphysalis quadriaculeata ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,quadriaculeata,,,,,,,,,,Haemaphysalis quadriaculeata,,
,,,,,,,,,"Haemaphysalis ramachandrai Dhanda, Hoogstraal & Bhat",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,ramachandrai,,,,"Dhanda, Hoogstraal & Bhat",,,,,,Haemaphysalis ramachandrai,,
,,,,,,,,,"Haemaphysalis ratti Kohls, 1948",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,ratti,,,,"Kohls, 1948",,,,,,Haemaphysalis ratti,,
,,,,,,,,,"Haemaphysalis renschi Schulze, 1933",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,renschi,,,,"Schulze, 1933",,,,,,Haemaphysalis renschi,,
,,,,,,,,,Haemaphysalis rhipistoma ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,rhipistoma,,,,,,,,,,Haemaphysalis rhipistoma,,
,,,,,,,,,Haemaphysalis roubaudi Toumanoff,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,roubaudi,,,,Toumanoff,,,,,,Haemaphysalis roubaudi,,
,,,,,,,,,Haemaphysalis rugosa Santos & Dias,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,rugosa,,,,Santos & Dias,,,,,,Haemaphysalis rugosa,,
,,,,,,,,,Haemaphysalis rusae Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Paraphysalis,rusae,,,,Kohls,,,,,,Haemaphysalis rusae,,
,,,,,,,,,Haemaphysalis sambar Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Interphysalis,sambar,,,,Hoogstraal,,,,,,Haemaphysalis sambar,,
,,,,,,,,,Haemaphysalis sciuri Kohls,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,sciuri,,,,Kohls,,,,,,Haemaphysalis sciuri,,
,,,,,,,,,Haemaphysalis semermis Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,semermis,,,,Neumann,,,,,,Haemaphysalis semermis,,
,,,,,,,,,Haemaphysalis semermis rufipes Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,semermis,rufipes,,,Neumann,,,,,,Haemaphysalis semermis rufipes,,
,,,,,,,,,Haemaphysalis shimoga Trapido & Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,shimoga,,,,Trapido & Hoogstraal,,,,,,Haemaphysalis shimoga,,
,,,,,,,,,Haemaphysalis silacea Robinson,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Haemaphysalis,silacea,,,,Robinson,,,,,,Haemaphysalis silacea,,
,,,,,,,,,"Haemaphysalis silvafelis Hoogstraal & Trapido, 1963",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Subkaiseria,silvafelis,,,,"Hoogstraal & Trapido, 1963",,,,,,Haemaphysalis silvafelis,,
,,,,,,,,,Haemaphysalis simplex Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,simplex,,,,Neumann,,,,,,Haemaphysalis simplex,,
,,,,,,,,,"Haemaphysalis simplicima Hoogstraal & Wassef, 1979",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,simplicima,,,,"Hoogstraal & Wassef, 1979",,,,,,Haemaphysalis simplicima,,
,,,,,,,,,Haemaphysalis spinigera Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,spinigera,,,,Neumann,,,,,,Haemaphysalis spinigera,,
,,,,,,,,,Haemaphysalis spinulosa Neumann,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,spinulosa,,,,Neumann,,,,,,Haemaphysalis spinulosa,,
,,,,,,,,,Haemaphysalis subelongata Hoogstraal,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Elongiphysalis,subelongata,,,,Hoogstraal,,,,,,Haemaphysalis subelongata,,
,,,,,,,,,Haemaphysalis sulcata Canestrini & Fanzago,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Herpetobia,sulcata,,,,Canestrini & Fanzago,,,,,,Haemaphysalis sulcata,,
,,,,,,,,,"Haemaphysalis sumatraensis El, Kammah, Kadarsan & Astos",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Paraphysalis,sumatraensis,,,,"El, Kammah, Kadarsan & Astos",,,,,,Haemaphysalis sumatraensis,,
,,,,,,,,,Haemaphysalis sundrai Sharif,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Herpetobia,sundrai,,,,Sharif,,,,,,Haemaphysalis sundrai,,
,,,,,,,,,"Haemaphysalis susphilippensis Hoogstraal, Kohls & Parrish",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,susphilippensis,,,,"Hoogstraal, Kohls & Parrish",,,,,,Haemaphysalis susphilippensis,,
,,,,,,,,,Haemaphysalis taiwa Sugimoto,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,taiwa,,,,Sugimoto,,,,,,Haemaphysalis taiwa,,
,,,,,,,,,Haemaphysalis tauffliebi Morel,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,tauffliebi,,,,Morel,,,,,,Haemaphysalis tauffliebi,,
,,,,,,,,,Haemaphysalis taurica ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,,taurica,,,,,,,,,,Haemaphysalis taurica,,
,,,,,,,,,Haemaphysalis texanus Banks,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Pholeoixodes,texanus,,,,Banks,,,,,,Haemaphysalis texanus,,
,,,,,,,,,"Haemaphysalis theilerae Hoogstraal, 1953",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Sharifiella,theilerae,,,,"Hoogstraal, 1953",,,,,,Haemaphysalis theilerae,,
,,,,,,,,,"Haemaphysalis tiptoni Hoogstraal, 1953",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Elongiphysalis,tiptoni,,,,"Hoogstraal, 1953",,,,,,Haemaphysalis tiptoni,,
,,,,,,,,,Haemaphysalis toxopei Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,toxopei,,,,Warburton,,,,,,Haemaphysalis toxopei,,
,,,,,,,,,Haemaphysalis traguli Oudemans,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Interphysalis,traguli,,,,Oudemans,,,,,,Haemaphysalis traguli,,
,,,,,,,,,"Haemaphysalis traubi Kohls, 1955",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Haemaphysalis,traubi,,,,"Kohls, 1955",,,,,,Haemaphysalis traubi,,
,,,,,,,,,Haemaphysalis turturis Nuttall & Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Subkaiseria,turturis,,,,Nuttall & Warburton,,,,,,Haemaphysalis turturis,,
,,,,,,,,,"Haemaphysalis verticalis Itagaki, Noda & Yamaguchi",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Ornithophysalis,verticalis,,,,"Itagaki, Noda & Yamaguchi",,,,,,Haemaphysalis verticalis,,
,,,,,,,,,Haemaphysalis vidua Warburton & Nuttall,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Interphysalis,vidua,,,,Warburton & Nuttall,,,,,,Haemaphysalis vidua,,
,,,,,,,,,Haemaphysalis vietmensis Hoogstraal & Wilson,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Alloceraea,vietmensis,,,,Hoogstraal & Wilson,,,,,,Haemaphysalis vietmensis,,
,,,,,,,,,Haemaphysalis warburtoni Nuttall,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Allophysalis,warburtoni,,,,Nuttall,,,,,,Haemaphysalis warburtoni,,
,,,,,,,,,Haemaphysalis wellingtoni Nuttall & Warburton,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Interphysalis,wellingtoni,,,,Nuttall & Warburton,,,,,,Haemaphysalis wellingtoni,,
,,,,,,,,,Haemaphysalis yeni Toumanoff,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Kaiseria,yeni,,,,Toumanoff,,,,,,Haemaphysalis yeni,,
,,,,,,,,,"Haemaphysalis zumpti Hoogstraal & El Kammah, 1974",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,HAEMAPHYSALIE,,,Haemaphysalis,Rhipistoma,zumpti,,,,"Hoogstraal & El Kammah, 1974",,,,,,Haemaphysalis zumpti,,
,,,,,,,,,"Hyalomma aegyptium (Linnaeus, 1758)",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,aegyptium,,,,"(Linnaeus, 1758)",,,,,,Hyalomma aegyptium,,
,,,,,,,,,Hyalomma albiparmatum Schulze,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,albiparmatum,,,,Schulze,,,,,,Hyalomma albiparmatum,,
,,,,,,,,,Hyalomma ampelinus ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,ampelinus,,,,,,,,,,Hyalomma ampelinus,,
,,,,,,,,,Hyalomma atolicum atolicum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,atolicum,atolicum,,,,,,,,,Hyalomma atolicum atolicum,,
,,,,,,,,,Hyalomma atolicum excavatum Koch,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,atolicum,excavatum,,,Koch,,,,,,Hyalomma atolicum excavatum,,
,,,,,,,,,"Hyalomma atolicum Koch, 1844",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,atolicum,,,,"Koch, 1844",,,,,,Hyalomma atolicum,,
,,,,,,,,,"Hyalomma arabica Pegram, Hoogstraal & Wassef, 1982",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,Hyalommina,arabica,,,,"Pegram, Hoogstraal & Wassef, 1982",,,,,,Hyalomma arabica,,
,,,,,,,,,Hyalomma asiaticum asiaticum Schulze & Schlottke,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,asiaticum,asiaticum,,,Schulze & Schlottke,,,,,,Hyalomma asiaticum asiaticum,,
,,,,,,,,,Hyalomma asiaticum caucasicum Pomerantzev,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,asiaticum,caucasicum,,,Pomerantzev,,,,,,Hyalomma asiaticum caucasicum,,
,,,,,,,,,Hyalomma asiaticum kozlovi Olenev,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,asiaticum,kozlovi,,,Olenev,,,,,,Hyalomma asiaticum kozlovi,,
,,,,,,,,,"Hyalomma asiaticum Schulze & Schlottke, 1930",,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,asiaticum,,,,"Schulze & Schlottke, 1930",,,,,,Hyalomma asiaticum,,
,,,,,,,,,Hyalomma brevipunctata Sharif,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,Hyalommi,brevipunctata,,,,Sharif,,,,,,Hyalomma brevipunctata,,
,,,,,,,,,Hyalomma compressum (Macalister),,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,compressum,,,,(Macalister),,,,,,Hyalomma compressum,,
,,,,,,,,,Hyalomma detritum albipictum ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,detritum,albipictum,,,,,,,,,Hyalomma detritum albipictum,,
,,,,,,,,,Hyalomma detritum damascenium ,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,detritum,damascenium,,,,,,,,,Hyalomma detritum damascenium,,
,,,,,,,,,Hyalomma detritum dardanicum Schulze,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,detritum,dardanicum,,,Schulze,,,,,,Hyalomma detritum dardanicum,,
,,,,,,,,,Hyalomma detritum detritum Schulze,,,,,,,,,,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Ixodidae,Hyalomminae,,,Hyalomma,,detritum,detritum,,,Schulze,,,,,,Hyalomma detritum detritum,,
