source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,,,,,,,,,Accipiter fasciatus wallacii,,fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter francesiae,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter francesiae brutus,,francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter francesiae francesiae,,francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter francesiae griveaudi,,francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter francesiae pusillus,,francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter gentilis albidus,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis arrigonii,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis atricapillus,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis buteoides,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis fujiyamae,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis gentilis,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis laingi,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter gentilis schvedowi,,gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
,,,,,,,,,Accipiter griseiceps,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter gularis,,Accipiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,,
,,,,,,,,,Accipiter gularis gularis,,gularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,
