source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,,,,,,,,,Fukomys kafuensis,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,kafuensis,,,,,,,,,220,Fukomys kafuensis
,,,,,,,,,Fukomys livingstoni,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,livingstoni,,,,,,,,,220,Fukomys livingstoni
,,,,,,,,,Fukomys mechowii,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,mechowii,,,,,,,,,220,Fukomys mechowii
,,,,,,,,,Fukomys micklemi,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,micklemi,,,,,,,,,220,Fukomys micklemi
,,,,,,,,,Fukomys ochraceocinereus,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,ochraceocinereus,,,,,,,,,220,Fukomys ochraceocinereus
,,,,,,,,,Fukomys vandewoestijneae,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,vandewoestijneae,,,,,,,,,220,Fukomys vandewoestijneae
,,,,,,,,,Fukomys whytei,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,whytei,,,,,,,,,220,Fukomys whytei
,,,,,,,,,Fukomys zechi,,Fukomys,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Fukomys,,zechi,,,,,,,,,220,Fukomys zechi
,,,,,,,,,Georychus,,Bathyergidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Georychus,,,,,,,,,,,180,Georychus 
,,,,,,,,,Georychus capensis,,Georychus,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Georychus,,capensis,,,,,,,,,220,Georychus capensis
,,,,,,,,,Heliophobius,,Bathyergidae,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Heliophobius,,,,,,,,,,,180,Heliophobius 
,,,,,,,,,Heliophobius argenteocinereus,,Heliophobius,,,,,,,,Mammalia,,,Rodentia,,,,,,Bathyergidae,,,,Heliophobius,,argenteocinereus,,,,,,,,,220,Heliophobius argenteocinereus
,,,,,,,,,Bovidae,,Artiodactyla,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,,,,,,,,,,,,140, 
,,,,,,,,,Addax,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Addax,,,,,,,,,,,180,Addax 
,,,,,,,,,Addax nasomaculatus,,Addax,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Addax,,nasomaculatus,,,,,,,,,220,Addax nasomaculatus
,,,,,,,,,Aepyceros,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Aepyceros,,,,,,,,,,,180,Aepyceros 
,,,,,,,,,Aepyceros melampus,,Aepyceros,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Aepyceros,,melampus,,,,,,,,,220,Aepyceros melampus
,,,,,,,,,Alcelaphus,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,,,,,,,,,,180,Alcelaphus 
,,,,,,,,,Alcelaphus buselaphus,,Alcelaphus,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Alcelaphus,,buselaphus,,,,,,,,,220,Alcelaphus buselaphus
,,,,,,,,,Ammelaphus,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,,,,,,,,,,180,Ammelaphus 
,,,,,,,,,Ammelaphus imberbis,,Ammelaphus,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammelaphus,,imberbis,,,,,,,,,220,Ammelaphus imberbis
,,,,,,,,,Ammodorcas,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,,,,,,,,,,180,Ammodorcas 
,,,,,,,,,Ammodorcas clarkei,,Ammodorcas,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammodorcas,,clarkei,,,,,,,,,220,Ammodorcas clarkei
,,,,,,,,,Ammotragus,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,,,,,,,,,,180,Ammotragus 
,,,,,,,,,Ammotragus lervia,,Ammotragus,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Ammotragus,,lervia,,,,,,,,,220,Ammotragus lervia
,,,,,,,,,Antidorcas,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,,,,,,,,,,180,Antidorcas 
,,,,,,,,,Antidorcas marsupialis,,Antidorcas,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antidorcas,,marsupialis,,,,,,,,,220,Antidorcas marsupialis
,,,,,,,,,Antilope,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,,,,,,,,,,180,Antilope 
,,,,,,,,,Antilope cervicapra,,Antilope,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Antilope,,cervicapra,,,,,,,,,220,Antilope cervicapra
,,,,,,,,,Arabitragus,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,,,,,,,,,,180,Arabitragus 
,,,,,,,,,Arabitragus jayakari,,Arabitragus,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Arabitragus,,jayakari,,,,,,,,,220,Arabitragus jayakari
,,,,,,,,,Beatragus,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,,,,,,,,,,180,Beatragus 
,,,,,,,,,Beatragus hunteri,,Beatragus,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Beatragus,,hunteri,,,,,,,,,220,Beatragus hunteri
,,,,,,,,,Bison,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,,,,,,,,,,180,Bison 
,,,,,,,,,Bison bison,,Bison,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bison,,,,,,,,,220,Bison bison
,,,,,,,,,Bison bonasus,,Bison,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bison,,bonasus,,,,,,,,,220,Bison bonasus
,,,,,,,,,Bos,,Bovidae,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,,,,,,,,,,180,Bos 
,,,,,,,,,Bos frontalis,,Bos,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,frontalis,,,,,,,,,220,Bos frontalis
,,,,,,,,,Bos grunniens,,Bos,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,grunniens,,,,,,,,,220,Bos grunniens
,,,,,,,,,Bos javanicus,,Bos,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,javanicus,,,,,,,,,220,Bos javanicus
,,,,,,,,,Bos mutus,,Bos,,,,,,,,Mammalia,,,Artiodactyla,,,,,,Bovidae,,,,Bos,,mutus,,,,,,,,,220,Bos mutus
